Issue_ID,Business_Unit,Issue_Type,Risk_Level,Date_Opened,Days_Open,SLA_Limit,SLA_Status,Remediation_Status
ISSUE-46540,Wealth Management,Fraud,Medium,2026-07-01,33,30,Breached,Closed
ISSUE-46487,Retail Banking,KYC,Medium,2026-06-08,8,30,On-Track,Closed
ISSUE-61682,Corporate Banking,AML,Low,2026-07-07,46,60,On-Track,Open
ISSUE-23410,Retail Banking,Transaction Monitoring,High,2026-06-08,75,15,Breached,Open
ISSUE-29219,Retail Banking,AML,Medium,2026-06-13,70,30,Breached,Open
ISSUE-34171,Investment Banking,AML,High,2026-06-02,81,15,Breached,Open
ISSUE-27575,Credit Cards,Transaction Monitoring,Low,2026-06-06,77,60,Breached,In Progress
ISSUE-47852,Corporate Banking,Sanctions,Medium,2026-04-26,118,30,Breached,In Progress
ISSUE-85272,Retail Banking,Sanctions,High,2026-06-13,19,15,Breached,Closed
ISSUE-60289,Corporate Banking,Transaction Monitoring,Medium,2026-06-03,19,30,On-Track,Closed
ISSUE-17636,Corporate Banking,Transaction Monitoring,Low,2026-07-27,26,60,On-Track,Open
ISSUE-87570,Retail Banking,Fraud,High,2026-07-16,37,15,Breached,In Progress
ISSUE-83929,Wealth Management,Transaction Monitoring,Low,2026-04-26,118,60,Breached,In Progress
ISSUE-57639,Wealth Management,Fraud,High,2026-07-12,41,15,Breached,In Progress
ISSUE-76933,Retail Banking,Fraud,Medium,2026-05-03,111,30,Breached,In Progress
ISSUE-69611,Investment Banking,Sanctions,Medium,2026-05-11,103,30,Breached,In Progress
ISSUE-47972,Credit Cards,KYC,Low,2026-06-10,73,60,Breached,In Progress
ISSUE-42477,Credit Cards,AML,High,2026-06-12,7,15,On-Track,Closed
ISSUE-12578,Retail Banking,Fraud,Medium,2026-08-19,24,30,On-Track,Closed
ISSUE-39234,Corporate Banking,KYC,Low,2026-06-05,78,60,Breached,In Progress
ISSUE-24543,Wealth Management,KYC,High,2026-08-05,8,15,On-Track,Closed
ISSUE-46286,Retail Banking,Transaction Monitoring,High,2026-05-19,4,15,On-Track,Closed
ISSUE-14057,Retail Banking,KYC,Medium,2026-05-23,3,30,On-Track,Closed
ISSUE-36252,Retail Banking,AML,Medium,2026-05-15,99,30,Breached,In Progress
ISSUE-86421,Corporate Banking,Fraud,Medium,2026-07-03,50,30,Breached,In Progress
ISSUE-52372,Investment Banking,Transaction Monitoring,Low,2026-04-27,117,60,Breached,In Progress
ISSUE-41549,Retail Banking,AML,Low,2026-07-25,24,60,On-Track,Closed
ISSUE-48470,Wealth Management,Transaction Monitoring,High,2026-05-04,110,15,Breached,Open
ISSUE-54803,Wealth Management,KYC,Low,2026-07-13,40,60,On-Track,Open
ISSUE-18694,Corporate Banking,Sanctions,Medium,2026-05-01,113,30,Breached,Open
ISSUE-62567,Corporate Banking,AML,Low,2026-07-06,47,60,On-Track,Open
ISSUE-51463,Corporate Banking,AML,Medium,2026-07-16,35,30,Breached,Closed
ISSUE-54750,Wealth Management,AML,Low,2026-06-11,7,60,On-Track,Closed
ISSUE-25037,Retail Banking,Fraud,Medium,2026-05-03,111,30,Breached,Open
ISSUE-81554,Corporate Banking,AML,Medium,2026-05-01,113,30,Breached,Open
ISSUE-80631,Credit Cards,Transaction Monitoring,Low,2026-06-21,62,60,Breached,In Progress
ISSUE-42067,Investment Banking,AML,High,2026-07-10,43,15,Breached,In Progress
ISSUE-49359,Wealth Management,Fraud,Low,2026-08-16,6,60,On-Track,Open
ISSUE-31863,Retail Banking,AML,Medium,2026-05-15,27,30,On-Track,Closed
ISSUE-57899,Wealth Management,KYC,Medium,2026-07-10,22,30,On-Track,Closed
ISSUE-40273,Retail Banking,KYC,High,2026-05-07,12,15,On-Track,Closed
ISSUE-93839,Retail Banking,AML,Medium,2026-06-18,65,30,Breached,In Progress
ISSUE-78776,Retail Banking,Sanctions,Low,2026-07-17,36,60,On-Track,In Progress
ISSUE-50846,Investment Banking,Fraud,Low,2026-05-22,92,60,Breached,In Progress
ISSUE-18317,Corporate Banking,AML,High,2026-06-01,82,15,Breached,Open
ISSUE-35921,Credit Cards,AML,High,2026-08-04,18,15,Breached,Open
ISSUE-98110,Investment Banking,Fraud,Low,2026-06-07,76,60,Breached,Open
ISSUE-28557,Retail Banking,Sanctions,Medium,2026-07-09,44,30,Breached,Open
ISSUE-87107,Investment Banking,Sanctions,Low,2026-07-18,35,60,On-Track,In Progress
ISSUE-83741,Credit Cards,KYC,Low,2026-06-26,3,60,On-Track,Closed
ISSUE-35926,Investment Banking,Transaction Monitoring,High,2026-05-30,84,15,Breached,In Progress
ISSUE-23368,Credit Cards,Sanctions,Medium,2026-08-13,9,30,On-Track,Open
ISSUE-77648,Wealth Management,KYC,High,2026-07-22,31,15,Breached,In Progress
ISSUE-16032,Corporate Banking,AML,High,2026-08-07,15,15,On-Track,Open
ISSUE-29791,Corporate Banking,KYC,Medium,2026-06-14,69,30,Breached,In Progress
ISSUE-54374,Corporate Banking,Fraud,Low,2026-04-29,11,60,On-Track,Closed
ISSUE-97234,Wealth Management,Fraud,Medium,2026-05-02,112,30,Breached,Open
ISSUE-26610,Wealth Management,Sanctions,High,2026-08-10,16,15,Breached,Closed
ISSUE-49041,Credit Cards,Transaction Monitoring,Medium,2026-06-07,23,30,On-Track,Closed
ISSUE-39420,Corporate Banking,AML,Low,2026-07-02,63,60,Breached,Closed
ISSUE-62231,Retail Banking,KYC,Medium,2026-05-13,101,30,Breached,Open
ISSUE-96695,Investment Banking,Transaction Monitoring,High,2026-07-21,18,15,Breached,Closed
ISSUE-57193,Credit Cards,Sanctions,Medium,2026-05-30,84,30,Breached,In Progress
ISSUE-11466,Wealth Management,Sanctions,High,2026-08-19,3,15,On-Track,Open
ISSUE-31239,Wealth Management,Transaction Monitoring,Low,2026-08-12,10,60,On-Track,In Progress
ISSUE-56804,Investment Banking,KYC,Medium,2026-06-04,25,30,On-Track,Closed
ISSUE-52783,Corporate Banking,AML,High,2026-05-21,16,15,Breached,Closed
ISSUE-94088,Investment Banking,Sanctions,Low,2026-05-22,92,60,Breached,In Progress
ISSUE-17483,Investment Banking,Fraud,Medium,2026-05-15,99,30,Breached,In Progress
ISSUE-69754,Credit Cards,AML,High,2026-05-04,9,15,On-Track,Closed
ISSUE-82387,Wealth Management,KYC,High,2026-07-06,47,15,Breached,In Progress
ISSUE-31752,Corporate Banking,Transaction Monitoring,Low,2026-06-28,55,60,On-Track,Open
ISSUE-88323,Retail Banking,AML,Low,2026-07-14,46,60,On-Track,Closed
ISSUE-38533,Investment Banking,AML,High,2026-04-28,116,15,Breached,In Progress
ISSUE-52779,Retail Banking,Fraud,Medium,2026-06-23,60,30,Breached,In Progress
ISSUE-89854,Wealth Management,Fraud,Low,2026-06-02,65,60,Breached,Closed
ISSUE-40337,Wealth Management,Sanctions,High,2026-06-13,70,15,Breached,Open
ISSUE-74175,Corporate Banking,Sanctions,High,2026-08-12,10,15,On-Track,Open
ISSUE-45758,Corporate Banking,Transaction Monitoring,Low,2026-06-08,27,60,On-Track,Closed
ISSUE-82295,Investment Banking,KYC,High,2026-04-26,7,15,On-Track,Closed
ISSUE-73692,Retail Banking,Sanctions,Low,2026-07-24,29,60,On-Track,Open
ISSUE-97745,Corporate Banking,KYC,High,2026-08-07,15,15,On-Track,In Progress
ISSUE-28898,Retail Banking,Transaction Monitoring,Low,2026-08-13,55,60,On-Track,Closed
ISSUE-18466,Credit Cards,Transaction Monitoring,High,2026-06-10,73,15,Breached,Open
ISSUE-59568,Credit Cards,KYC,Medium,2026-08-08,14,30,On-Track,In Progress
ISSUE-77733,Wealth Management,Sanctions,High,2026-07-07,46,15,Breached,In Progress
ISSUE-54552,Corporate Banking,Transaction Monitoring,High,2026-06-02,81,15,Breached,Open
ISSUE-37014,Credit Cards,Fraud,Medium,2026-05-02,112,30,Breached,Open
ISSUE-91620,Investment Banking,KYC,Low,2026-06-10,73,60,Breached,Open
ISSUE-92498,Investment Banking,AML,High,2026-07-15,38,15,Breached,Open
ISSUE-62184,Corporate Banking,Fraud,High,2026-08-18,15,15,On-Track,Closed
ISSUE-48108,Credit Cards,AML,Medium,2026-05-31,83,30,Breached,In Progress
ISSUE-82922,Corporate Banking,Fraud,Medium,2026-06-25,31,30,Breached,Closed
ISSUE-69816,Credit Cards,AML,High,2026-05-12,102,15,Breached,Open
ISSUE-46706,Corporate Banking,Fraud,High,2026-07-27,26,15,Breached,Open
ISSUE-95083,Corporate Banking,Sanctions,High,2026-06-09,74,15,Breached,In Progress
ISSUE-37783,Wealth Management,Fraud,Low,2026-07-25,28,60,On-Track,Open
ISSUE-92651,Wealth Management,AML,High,2026-05-15,99,15,Breached,In Progress
ISSUE-86772,Investment Banking,Fraud,High,2026-07-14,39,15,Breached,In Progress
ISSUE-67050,Corporate Banking,KYC,High,2026-06-18,65,15,Breached,Open
ISSUE-26523,Investment Banking,Fraud,Low,2026-08-12,10,60,On-Track,In Progress
ISSUE-59949,Credit Cards,KYC,High,2026-05-17,97,15,Breached,Open
ISSUE-58023,Wealth Management,KYC,Medium,2026-06-24,8,30,On-Track,Closed
ISSUE-29105,Corporate Banking,AML,Low,2026-05-01,65,60,Breached,Closed
ISSUE-62431,Wealth Management,Fraud,Medium,2026-08-13,9,30,On-Track,Open
ISSUE-19027,Retail Banking,Transaction Monitoring,Medium,2026-05-31,83,30,Breached,Open
ISSUE-77938,Corporate Banking,KYC,Low,2026-07-30,23,60,On-Track,In Progress
ISSUE-30595,Credit Cards,KYC,Medium,2026-07-13,40,30,Breached,In Progress
ISSUE-28532,Retail Banking,KYC,Medium,2026-06-24,59,30,Breached,In Progress
ISSUE-94705,Corporate Banking,Fraud,Low,2026-07-02,62,60,Breached,Closed
ISSUE-97680,Retail Banking,Fraud,Medium,2026-07-30,23,30,On-Track,In Progress
ISSUE-94968,Wealth Management,KYC,Medium,2026-07-08,45,30,Breached,Open
ISSUE-78892,Investment Banking,AML,Low,2026-06-10,27,60,On-Track,Closed
ISSUE-53085,Wealth Management,AML,Low,2026-05-10,4,60,On-Track,Closed
ISSUE-24042,Credit Cards,Transaction Monitoring,Medium,2026-04-29,28,30,On-Track,Closed
ISSUE-66796,Wealth Management,Fraud,Medium,2026-05-28,86,30,Breached,In Progress
ISSUE-16502,Corporate Banking,Sanctions,Medium,2026-07-10,43,30,Breached,Open
ISSUE-98532,Investment Banking,AML,Medium,2026-04-30,114,30,Breached,In Progress
ISSUE-88403,Retail Banking,KYC,High,2026-04-29,115,15,Breached,In Progress
ISSUE-83039,Investment Banking,AML,Medium,2026-08-20,2,30,On-Track,In Progress
ISSUE-87174,Investment Banking,Sanctions,High,2026-05-25,89,15,Breached,Open
ISSUE-51892,Wealth Management,KYC,Medium,2026-04-25,119,30,Breached,In Progress
ISSUE-58268,Corporate Banking,Sanctions,Low,2026-07-03,50,60,On-Track,Open
ISSUE-41850,Investment Banking,Sanctions,Medium,2026-06-19,64,30,Breached,In Progress
ISSUE-49384,Credit Cards,KYC,Medium,2026-07-14,39,30,Breached,In Progress
ISSUE-89334,Corporate Banking,AML,High,2026-08-04,2,15,On-Track,Closed
ISSUE-50864,Corporate Banking,KYC,Medium,2026-06-22,61,30,Breached,Open
ISSUE-81279,Investment Banking,Transaction Monitoring,Medium,2026-07-18,35,30,Breached,Open
ISSUE-74726,Corporate Banking,Fraud,High,2026-07-03,50,15,Breached,In Progress
ISSUE-75198,Retail Banking,KYC,Medium,2026-07-04,17,30,On-Track,Closed
ISSUE-42808,Credit Cards,AML,High,2026-04-28,116,15,Breached,Open
ISSUE-44638,Retail Banking,Fraud,High,2026-08-14,8,15,On-Track,Open
ISSUE-35223,Wealth Management,AML,Low,2026-08-03,45,60,On-Track,Closed
ISSUE-80324,Investment Banking,AML,High,2026-05-22,92,15,Breached,Open
ISSUE-50861,Credit Cards,KYC,Low,2026-07-05,40,60,On-Track,Closed
ISSUE-66441,Wealth Management,Fraud,Medium,2026-08-03,19,30,On-Track,Closed
ISSUE-11291,Wealth Management,Sanctions,Medium,2026-05-20,28,30,On-Track,Closed
ISSUE-52750,Wealth Management,Sanctions,Medium,2026-07-28,35,30,Breached,Closed
ISSUE-47464,Investment Banking,KYC,Medium,2026-05-03,13,30,On-Track,Closed
ISSUE-68993,Investment Banking,AML,Low,2026-08-02,20,60,On-Track,In Progress
